Query seq,Query length (nt),Hit HOT,Hit HOMD seq name,HOMD clone name,Identities (%),Mismatch,Identities (no gaps & non-AGCTU)(%),Mismatch (no gaps & non-AGCTU),Score (bits),Query Start,Subject Start,Query End,Subject End
20,300,824,824_5951 ,Bacillus anthracis | HOT_824 | Strain_Delta Ames | GB_AF155951 | Named | G | 0,100,0/300,100,0/300,542,1,321,300,620
3727,255,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/255,100,0/255,461,1,281,255,535
3728,254,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/254,100,0/254,459,1,281,254,534
3730,256,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/256,100,0/256,462,1,281,256,536
3764,226,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/226,100,0/226,408,1,281,226,506
3765,225,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/225,100,0/225,407,1,281,225,505
3767,227,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/227,100,0/227,410,1,281,227,507
3857,295,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/295,100,0/295,533,1,281,295,575
3860,292,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/292,100,0/292,527,1,281,292,572
3903,184,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/184,100,0/184,333,1,313,184,496
3905,183,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/183,100,0/183,331,1,313,183,495
3931,186,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,90.4,18/187,91.4,16/185,250,1,314,186,499
3932,184,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,90.3,18/185,91.3,16/183,246,1,314,184,497
3964,234,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.4,6/234,97.4,6/234,396,1,281,234,514
3965,235,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.4,6/234,97.4,6/234,396,1,281,234,514
4009,300,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.7,7/300,97.7,7/300,509,1,281,300,580
4010,274,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.4,7/274,97.4,7/274,462,1,281,274,554
4013,275,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.4,7/274,97.4,7/274,462,1,281,274,554
4068,206,590,590_9422 ,Brevundimonas diminuta | HOT_590 | Strain_IFO 3140 | GB_D49422 | Named | G | 2,100,0/206,100,0/206,372,1,281,206,486
4072,213,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,6/213,97.2,6/213,358,1,281,213,493
4170,185,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,5/185,97.3,5/185,311,1,281,185,465
4171,186,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,5/186,97.3,5/186,313,1,281,186,466
4198,181,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,5/181,97.2,5/181,304,1,281,181,461
4201,180,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.8,4/178,97.8,4/178,304,1,281,178,458
4276,300,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/300,100,0/300,542,1,313,300,612
4278,299,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/299,100,0/299,540,1,313,299,611
4280,298,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/298,100,0/298,538,1,313,298,610
4306,205,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/205,100,0/205,370,1,313,205,517
4359,239,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/239,100,0/239,432,1,313,239,551
4360,240,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/240,100,0/240,434,1,313,240,552
4362,238,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/238,100,0/238,430,1,313,238,550
4396,231,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/231,100,0/231,417,1,313,231,543
4397,230,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/230,100,0/230,416,1,313,230,542
4419,292,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.4,25/292,92.1,23/290,407,1,313,291,603
4420,294,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.2,26/295,91.8,24/293,408,1,314,294,607
4422,291,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.4,25/292,92.1,23/290,407,1,313,291,603
4440,298,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.3,26/299,91.9,24/297,416,1,313,298,610
4441,300,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.4,26/301,92,24/299,419,1,313,300,612
4442,296,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.2,26/296,91.8,24/294,410,1,314,295,608
4443,299,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.3,26/300,91.9,24/298,417,1,313,299,611
4444,297,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.3,26/298,91.9,24/296,414,1,313,297,609
4502,230,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.8,19/231,92.6,17/229,324,1,314,230,543
4503,231,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.8,19/232,92.6,17/230,325,1,314,231,544
4559,239,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,92.1,19/239,92.8,17/237,338,1,314,238,551
4560,240,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,92.1,19/239,92.8,17/237,338,1,314,238,551
4561,241,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.7,20/242,92.5,18/240,340,1,314,241,554
4595,260,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.5,22/259,92.2,20/257,361,1,313,258,570
4596,258,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.5,22/259,92.2,20/257,361,1,313,258,570
4597,259,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.5,22/259,92.2,20/257,361,1,313,258,570
4623,252,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,92.1,20/252,92.8,18/250,358,1,313,251,563
4624,254,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.8,21/255,92.5,19/253,358,1,313,254,566
4626,253,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,92.1,20/252,92.8,18/250,358,1,313,251,563
4649,257,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/257,100,0/257,464,1,313,257,569
4650,258,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/258,100,0/258,466,1,313,258,570
4668,252,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/252,100,0/252,455,1,313,252,564
4669,253,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/253,100,0/253,457,1,313,253,565
4686,240,092,092_0738 ,Neisseria weaveri | HOT_092 | Strain_CDC 8142 | GB_L10738 | Named | G | 2,94.5,13/238,94.5,13/238,370,1,313,238,550
4689,238,092,092_0738 ,Neisseria weaveri | HOT_092 | Strain_CDC 8142 | GB_L10738 | Named | G | 2,94.5,13/238,94.5,13/238,370,1,313,238,550
4710,195,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/195,100,0/195,352,1,313,195,507
4711,197,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/197,100,0/197,356,1,313,197,509
4712,196,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/196,100,0/196,354,1,313,196,508
4743,196,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,90.9,18/197,91.8,16/195,268,1,314,196,509
4745,197,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,90.9,18/198,91.8,16/196,269,1,314,197,510
4746,195,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,90.8,18/196,91.8,16/194,266,1,314,195,508
4764,242,612,612_4476 ,Pseudomonas fluorescens | HOT_612 | Strain_ATCC 13525 | GB_NR_114476 | Named | G | 2,100,0/242,100,0/242,437,1,307,242,548
4766,240,612,612_4476 ,Pseudomonas fluorescens | HOT_612 | Strain_ATCC 13525 | GB_NR_114476 | Named | G | 2,100,0/240,100,0/240,434,1,307,240,546
4784,280,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/280,100,0/280,506,1,311,280,590
4785,300,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/300,100,0/300,542,1,311,300,610
4813,226,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/226,100,0/226,408,1,311,226,536
4818,225,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/225,100,0/225,407,1,311,225,535
4834,199,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/199,100,0/199,360,1,311,199,509
4835,200,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/200,100,0/200,361,1,311,200,510
4850,242,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.7,8/244,98.3,4/240,390,1,313,242,554
4851,240,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.7,8/242,98.3,4/238,387,1,313,240,552
4931,251,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/251,100,0/251,453,1,281,251,531
4932,253,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/253,100,0/253,457,1,281,253,533
4933,252,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/252,100,0/252,455,1,281,252,532
4934,250,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/250,100,0/250,452,1,281,250,530
